currency,current_volatility,average_volatility,volatility_percentile
GBP,0.1106394904167713,0.0915618857832049,62.5
CAD,0.09214221246468036,0.054743631381048014,73.91304347826086
EUR,0.1305334793335476,0.0884264877467949,65.21739130434783
