currency,change_1q,direction_1q,change_1y,direction_1y,change_2y,direction_2y
GBP,1.917808219178084,up,-0.1342281879194632,down,-8.823529411764701,down
CAD,1.8288222384784134,up,2.9585798816567905,up,3.6485480268056545,up
EUR,-0.11723329425556868,down,-4.591265397536398,down,-9.745762711864405,down
